cohort,rank,player,position,current_level,method,score,matched_on,disambiguated_by,mlbam_id,matched_name,mlb_debut_date
2023,13,Eury Pérez,RHP,MLB,exact,1.0,full_name,unique,691587,Eury Pérez,2023-05-12
2023,14,Diego Cartaya,C,A+,exact,1.0,full_name,unique,682616,Diego Cartaya,
2023,15,Druw Jones,OF,AA,exact,1.0,full_name,unique,702258,Druw Jones,
2023,16,Daniel Espino,RHP,AAA,exact,1.0,full_name,unique,682982,Daniel Espino,2026-06-17
2023,17,James Wood,OF,MLB,exact,1.0,full_name,unique,695578,James Wood,2024-07-01
2023,18,Kyle Harrison,LHP,A+,exact,1.0,full_name,unique,690986,Kyle Harrison,2023-08-22
2023,19,Jackson Merrill,SS/OF,MLB,exact,1.0,full_name,unique,701538,Jackson Merrill,2024-03-20
2023,20,Taj Bradley,RHP,MLB,exact,1.0,full_name,unique,671737,Taj Bradley,2023-04-12
2023,21,Brett Baty,3B/OF,MLB,exact,1.0,full_name,unique,683146,Brett Baty,2022-08-17
2023,22,Marco Luciano,SS,AAA,exact,1.0,full_name,unique,682617,Marco Luciano,2023-07-26
2023,23,Triston Casas,1B,MLB,exact,1.0,full_name,unique,671213,Triston Casas,2022-09-04
2023,24,Bobby Miller,RHP,MLB,exact,1.0,full_name,unique,676272,Bobby Miller,2023-05-23
2023,25,Ezequiel Tovar,SS,MLB,exact,1.0,full_name,unique,678662,Ezequiel Tovar,2022-09-23
2023,26,Termarr Johnson,2B,AAA,exact,1.0,full_name,unique,702261,Termarr Johnson,
2023,27,Zac Veen,OF,AAA,exact,1.0,full_name,unique,691728,Zac Veen,2025-04-08
2023,28,Pete Crow-Armstrong,OF,MLB,exact,1.0,full_name,unique,691718,Pete Crow-Armstrong,2023-09-11
2023,29,Noelvi Marte,3B/SS,MLB,exact,1.0,full_name,unique,682622,Noelvi Marte,2023-08-19
2023,30,Sal Frelick,OF,MLB,exact,1.0,full_name,unique,686217,Sal Frelick,2023-07-22
2023,31,Brooks Lee,INF,MLB,exact,1.0,full_name,unique,686797,Brooks Lee,2024-07-03
2023,32,Ricky Tiedemann,LHP,A,exact,1.0,full_name,unique,694357,Ricky Tiedemann,
2023,33,Curtis Mead,3B/2B,MLB,exact,1.0,full_name,unique,678554,Curtis Mead,2023-08-04
2023,34,Josh Jung,3B,MLB,exact,1.0,full_name,unique,673962,Josh Jung,2022-09-09
2023,35,Robert Hassell III,OF,ROK,exact,1.0,full_name,unique,690987,Robert Hassell III,2025-05-22
2023,36,Kevin Parada,C,AA,exact,1.0,full_name,unique,691006,Kevin Parada,
2023,37,Miguel Vargas,3B/OF/1B,MLB,exact_disambiguated,1.0,full_name,position+level,678246,Miguel Vargas,2022-08-03
2023,38,Colson Montgomery,SS/3B,MLB,exact,1.0,full_name,unique,695657,Colson Montgomery,2025-07-04
2023,39,Tyler Soderstrom,C/1B,MLB,exact,1.0,full_name,unique,691016,Tyler Soderstrom,2023-07-14
2023,40,Colton Cowser,OF,MLB,exact,1.0,full_name,unique,681297,Colton Cowser,2023-07-05
2023,41,Evan Carter,OF,MLB,exact,1.0,full_name,unique,694497,Evan Carter,2023-09-08
2023,42,Gavin Williams,RHP,MLB,exact,1.0,full_name,unique,668909,Gavin Williams,2023-06-21
2023,43,Hunter Brown,RHP,MLB,exact,1.0,full_name,unique,686613,Hunter Brown,2022-09-05
2023,44,Edwin Arroyo,SS/2B,AAA,exact,1.0,full_name,unique,695490,Edwin Arroyo,2026-06-01
2023,45,Royce Lewis,SS,MLB,exact,1.0,full_name,unique,668904,Royce Lewis,2022-05-06
2023,46,Elijah Green,OF,A+,exact,1.0,full_name,unique,701327,Elijah Green,
2023,47,Jasson Domínguez,OF,MLB,exact,1.0,full_name,unique,691176,Jasson Domínguez,2023-09-01
2023,48,Mick Abel,RHP,MLB,exact,1.0,full_name,unique,690953,Mick Abel,2025-05-18
2023,49,Harry Ford,C,MLB,exact,1.0,full_name,unique,695670,Harry Ford,2025-09-05
2023,50,Masyn Winn,SS,MLB,exact,1.0,full_name,unique,691026,Masyn Winn,2023-08-18
2023,51,George Valera,OF,AAA,exact,1.0,full_name,unique,671655,George Valera,2025-09-01
2023,52,Oswald Peraza,SS/2B,MLB,exact,1.0,full_name,unique,672724,Oswald Peraza,2022-09-02
2023,53,Logan O'Hoppe,C,MLB,exact,1.0,full_name,unique,681351,Logan O'Hoppe,2022-09-28
2023,54,Michael Busch,INF,MLB,exact,1.0,full_name,unique,683737,Michael Busch,2023-04-25
2023,55,Endy Rodríguez,C/1B,MLB,exact_disambiguated,1.0,full_name,position+level,682848,Endy Rodríguez,2023-07-17
2023,56,Gavin Stone,RHP,MLB,exact,1.0,full_name,unique,694813,Gavin Stone,2023-05-03
2023,57,Henry Davis,C,MLB,exact,1.0,full_name,unique,680779,Henry Davis,2023-06-19
2023,58,Cade Cavalli,RHP,MLB,exact,1.0,full_name,unique,676917,Cade Cavalli,2022-08-26
2023,59,Brandon Pfaadt,RHP,MLB,exact,1.0,full_name,unique,694297,Brandon Pfaadt,2023-05-03
2023,60,Quinn Priester,RHP,MLB,exact,1.0,full_name,unique,682990,Quinn Priester,2023-07-17
2023,61,Jacob Berry,OF/3B,AAA,exact,1.0,full_name,unique,694351,Jacob Berry,
2023,62,Gavin Cross,OF,AAA,exact,1.0,full_name,unique,688457,Gavin Cross,
2023,63,Jackson Jobe,RHP,AA,exact,1.0,full_name,unique,695549,Jackson Jobe,2024-09-25
2023,64,Bo Naylor,C,MLB,exact,1.0,full_name,unique,666310,Bo Naylor,2022-10-01
2023,65,Tanner Bibee,RHP,MLB,exact,1.0,full_name,unique,676440,Tanner Bibee,2023-04-26
2023,66,Owen White,RHP,AAA,exact,1.0,full_name,unique,669391,Owen White,2023-06-13
2023,67,Max Meyer,RHP,MLB,exact,1.0,full_name,unique,676974,Max Meyer,2022-07-16
2023,68,Adael Amador,2B,AAA,exact,1.0,full_name,unique,691182,Adael Amador,2024-06-09
