mlbam_id,player,position,position_today,cohorts,mlb_debut_date,n_seasons_scored,first_crossing_season,first_base_crossing_season,debut_day_adj_war,debut_day_base_war,debut_day_rate_per_600,debut_reading_basis
683004,Jack Leiter,RHP,P,2022#17;2023#78,2024-04-18,2,2022,2022,0.45,-0.13,0.76,carried_from_2023_over_57pa_tuneup
683011,Anthony Volpe,SS,SS,2022#8;2023#5,2023-03-30,2,2021,2021,6.14,2.38,6.18,carried_from_2022
683146,Brett Baty,3B/OF,3B,2022#27;2023#21,2022-08-17,2,2021,2021,4.38,2.25,6.67,debut_season
683175,Connor Phillips,RHP,P,2024#70,2023-09-05,3,2021,2021,2.61,1.64,3.39,debut_season
683357,Owen Caissie,OF,RF,2024#47,2025-08-14,5,2021,2023,4.0,2.39,5.95,debut_season
683737,Michael Busch,INF,1B,2022#67;2023#54;2024#51,2023-04-25,3,2021,2021,1.06,0.81,6.26,debut_season
686217,Sal Frelick,OF,RF,2022#70;2023#30,2023-07-22,3,2021,2022,0.58,-0.2,1.9,debut_season
686610,Ken Waldichuk,LHP,P,2023#76,2022-09-01,2,2021,2021,2.49,2.03,3.77,debut_season
686611,Dylan Crews,OF,RF,2024#7,2024-08-26,2,2023,2024,3.08,0.97,4.11,debut_season
686613,Hunter Brown,RHP,P,2023#43,2022-09-05,2,2021,2021,3.7,3.01,5.22,debut_season
686752,Ryan Pepiot,RHP,P,2023#70,2022-05-11,2,2021,2022,0.91,0.77,5.02,debut_season
686796,Blake Walston,LHP,P,2022#99,2024-05-01,3,2021,2022,3.37,2.4,3.04,carried_from_2023_over_98pa_tuneup
686797,Brooks Lee,INF,3B,2023#31;2024#18,2024-07-03,2,2022,2022,4.29,1.22,4.54,carried_from_2023_over_136pa_tuneup
686894,Joey Wiemer,OF,RF,2022#100;2023#90,2023-04-01,2,2021,2021,3.4,1.32,3.73,carried_from_2022
687221,Dalton Rushing,C/OF,C,2024#75,2025-05-15,4,2022,2022,1.64,1.12,7.46,debut_season
687263,Zach Neto,SS,SS,2023#89,2023-04-15,1,2022,2022,1.57,0.65,6.95,carried_from_2022_over_34pa_tuneup
687401,Joey Ortiz,INF,SS,2023#99;2024#63,2023-04-27,2,2021,2021,3.73,2.11,3.73,carried_from_2022_over_72pa_tuneup
687551,Drew Gilbert,OF,CF,2024#53,2025-08-08,3,2023,2023,2.43,1.06,3.82,debut_season
687597,Jordan Beck,OF,LF,2024#81,2024-04-30,3,2022,2023,1.42,0.93,7.04,debut_season
687931,Carson Whisenhunt,LHP,P,2024#83,2025-07-28,3,2023,2023,2.15,1.57,3.16,debut_season
688457,Gavin Cross,OF,OF,2023#62,,5,2022,2022,,,,never_debuted
689672,Drew Thorpe,RHP,P,2024#85,2024-06-11,2,2023,2023,0.56,0.25,1.49,debut_season
690291,Jace Jung,3B/2B,3B,2023#83;2024#60,2024-08-16,3,2022,2022,3.43,1.76,4.95,debut_season
690953,Mick Abel,RHP,P,2022#81;2023#48;2024#49,2025-05-18,5,2021,2022,1.24,0.94,3.89,debut_season
690986,Kyle Harrison,LHP,P,2022#75;2023#18;2024#23,2023-08-22,3,2021,2021,1.63,1.2,3.31,debut_season
